Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat,,nfactor ,min_bound,avg_bound,max_bound
32,670,574,56.36528597,34.96716418,6.098059701,12.08910448,36.72164179,14.47179104,60.11523965,5.702985075,361.7192001,100,9.3,14.24,49.5,294.1254883,10,0.832326889,1,0.8,9.58,15.5,0.863037109,1,37764.7416,34506.14756,72270.88916,3439.6,,5.133731343,857.6,6537.12,9969.6
33,687,561,54.52000548,34.00873362,6.069868996,12.07574964,36.84425036,13.6209607,61.19365211,5.915574964,320.3253889,100,9.3,14.24,49.5,304.5009532,11,0.865030766,1,0.8,9.58,16.5,0.730061531,2,37455.24377,34329.63884,71784.8826,2939.9,,4.279330422,659.52,5004,7666.92
34,712,539,53.1187547,33.91151685,6.076404494,12.0994382,36.8630618,13.35744382,61.49058779,6.129213483,373.1247177,100,9.4,14.24,49.5,303.5009532,12,0.891938388,1,0.8,9.58,16.5,0.612328425,2,37820.55334,33143.42682,70963.98016,3237.8,,4.54747191,683.52,5191.68,8031.36
35,706,533,53.92137415,34.07223796,6.070254958,12.15713881,36.85623229,13.51968839,61.23361295,6.342776204,382.1421082,100,9.4,14.24,49.5,320.0789185,12,0.891938388,1,0.7,9.58,16.5,0.02721405,3,38068.49015,32637.5157,70706.00585,3629.7,,5.14121813,790.72,6856.96,10618.24
36,730,510,52.87751997,34.14246575,6.150547945,12.15893151,36.86917808,14.55534247,61.94429426,6.531506849,382.1421082,100,9.4,14.3,49.5,425.4317889,13,0.771157503,1,0.7,9.52,16.5,0.163408279,3,38600.58958,31591.59007,70192.17965,3539.6,,4.848767123,613.2,5387.88,8234.4
37,706,513,54.44128627,34.2407932,6.123087819,12.1715864,37.19334278,15.20892351,62.12765937,6.752124646,430.0745764,99,9.4,14.3,49.5,382.1421082,13,1.280703545,1,0.7,9.52,16.5,1,3,38435.54811,31871.48925,70307.03736,4062,,5.753541076,790.72,6916.64,10618.24
38,708,510,54.94885466,33.61723164,6.135310734,12.16612994,37.28813559,15.27782486,61.61081961,7.014124294,430.0745764,95,9.4,14.3,49.5,381.1421082,13,0.742658794,1,0.7,9.52,18,0.297075748,3,38903.7891,31421.518,70325.3071,3732.7,,5.272175141,792.96,6950.08,10648.32
39,736,496,52.88080371,33.34646739,6.189538043,12.1661413,37.01086957,14.9125,62.23769304,7.21875,488.3264799,95,9.3,14.3,49.5,263.0772629,13,0.742658794,1,0.6,9.52,18,0.485317588,3,38920.27153,30869.89575,69790.16728,3527.9,,4.793342391,529.92,5466.6,8213.76
40,730,504,53.91792207,33.08767123,6.136986301,12.23049315,36.95958904,14.41794521,59.43440283,7.361643836,488.3264799,95,9.3,14.3,49.5,256.5001373,11,1.056193301,1,0.6,9.82,18,0.070175588,4,39360.08311,29954.93903,69315.02214,3630.5,,4.973287671,525.6,5376,8146.8
41,758,467,54.64941893,33.31266491,6.104617414,12.22920844,37.26187335,14.67387863,58.42917205,7.547493404,489.6363346,95,9.3,14.3,49.5,255.5001373,11,0.428323492,1,0.6,9.82,18,0.137981176,4,41424.25955,27286.42335,68710.6829,3307.8,,4.363852243,545.76,5552.76,8459.28
