Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxL,maxFE,maxGen,minAE,minET,minH,minV,minL,minFE,minGen,totalAE,totalFE,totalE,totalCombat,,low bound,mid bound,high bound,avgCombat,food_change 
51,471,74,3.9377997186988796,4.848195329087049,5.456687898089164,72.53927813163482,42.09978768577495,6.104254416377985,7.985138004246284,46.86234712973237,28.5,9.299999999999999,150.5,51,32.57632088661194,12,0.15760819765273482,0.5,1.6999999999999997,11,30,0.10142794251441956,4,1854.7036675071722,451.71482681197085,2306.418494319143,1487.3999999999999,,800.7,2570.1,4380.3,3.157961783,-24
52,457,83,3.585359082521144,4.733041575492341,5.430415754923408,71.75820569,42.23194748358862,5.9528204438176475,8.164113785557987,40.32886739,28.5,9.299999999999999,150.5,51,41.55250921845436,12,0.169606553,0.5,1.7999999999999998,11,30.5,0.15760819765273482,4,1638.5091007121628,494.0840968368648,2132.5931975490275,1660.7,,822.6,2481.7,4250.1,3.633916849,9
53,460,61,3.4722475842746423,4.539130434782609,5.447826086956516,71.33152173913044,42.322826086956525,6.249371033982511,8.323913043,43.18588122725487,28.5,9.299999999999999,150.5,51,27.649266726337373,12,0.1769150821492076,0.5,1.7999999999999998,11,30.5,0.085585475,4,1597.2338887663354,381.2116330729332,1978.4455218392686,1304.5,,414,1253,2139,2.835869565,-22
54,436,75,3.3070167693126846,4.345183486238532,5.469495412844034,73.20412844036697,42.397935779816514,5.302248678152682,8.495412844036696,32.24389209,28.5,9.299999999999999,150.5,51,32.70486217737198,12,0.1769150821492076,0.5,2,14,30.5,0.18839972373098135,4,1441.8593114203304,397.66865086145117,1839.5279622817816,1649.6,,872,2384.7,4054.8,3.783486239,14
55,415,84,3.142687192,4.178313253012048,5.3889156626506045,73.97469879518073,42.33855421686747,4.7688084386347676,8.708433734939758,31.398017317056656,28,9.2,136.5,51,31.70486217737198,12,0.1769150821492076,0.5,2,15.5,30.5,0.23309464489284437,4,1304.215184528579,400.57990884532046,1704.7950933738994,1542.3999999999999,,830,2236.4,3818,3.716626506,9
56,398,75,2.8923653714875477,3.9974874371859297,5.350000000000002,73.99497487437186,42.324120603015075,5.578863764190416,8.894472361809045,31.398017317056656,22,9.2,136.5,51.5,30.70486217737198,12,0.1769150821492076,0.5,2.1,15.5,30.5,0.26347887935116887,4,1151.161417852044,418.4147823142812,1569.5762001663252,1229.3999999999999,,835.8,2129.3,3661.6,3.088944724,-9
57,403,55,2.927574644569504,3.925558312655087,5.294044665012409,73.90942928039702,42.38461538461539,4.7407616328874695,8.967741935,33.759638542360335,22,9.2,136.5,51.5,22.195473916828632,12,0.1769150821492076,0.5,2.1,15.5,30.5,0.230342225,4,1179.812582,260.7418898088108,1440.5544715703209,1103.6,,423.15,1066.75,1853.8,2.738461538,-20
58,398,61,2.67240155,3.8743718592964824,5.277889447236177,74.03391959798995,42.79396984924623,4.383647661931867,9.100502512562814,31.398017317056656,22,9.1,136.5,51.5,31.536084945779294,13,0.15971517925618173,0.5,2.1,15.5,30.5,0.089201166,4,1063.6158167361752,267.4025073778439,1331.0183241140192,1235.3999999999999,,835.8,2100.6,3621.8,3.104020101,6
59,397,49,2.624553995058729,3.7732997481108312,5.2400503778337555,74.17884130982368,42.90806045,4.116376285109644,9.214105793450882,31.45169632998295,22,9.1,136.5,51.5,20.195473916828632,13,0.15898641643798328,0.5,2.1,15.5,30.5,0.14665985107421875,4,1041.9479360383154,201.70243797037256,1243.650374008688,1212.4,,833.7,2080.3,3612.7,3.053904282,-12
60,375,53,2.467329696756481,3.504,5.095466666666669,72.21866666666666,42.88,4.819990656326345,9.413333333333334,31.45169632998295,22,9.1,136.5,51.5,23.426991154439747,13,0.15898641643798328,0.5,2.1,15.5,30.5,0.21723813390053692,4,925.2486362836803,255.4595047852963,1180.7081410689766,1209.4,,787.5,1910.8,3412.5,3.225066667,4
61,366,51,2.3933737854509345,3.3674863387978142,5.092896174863388,73.04918032786885,42.82377049180328,4.2813218947071885,9.551912568306012,26.078639546816703,22,9.1,138,51.5,16.879819271180168,13,0.15898641643798328,0.5,2.1,15.5,30.5,0.1752312254457138,4,875.9748054750421,218.34741663006662,1094.3222221051087,1144.8999999999999,,768.6,1864,3330.6,3.128142077,-2
62,341,54,2.4702035215809857,3.403225806451613,5.175659824046922,75.77272727272727,42.96334311,3.261026947888796,9.648093841642229,26.078639546816703,22,9.1,138,51.5,14.527692294679582,13,0.13858011513252677,0.5,2.1,15.5,30.5,0.2008873338563717,4,842.3394009,176.09545518599498,1018.434856045111,949.5999999999999,,358.05,882.45,1551.55,2.784750733,3
63,330,46,2.423325698556244,3.337878787878788,5.183333333,75.72272727272727,43.121212121212125,3.0819309876467584,9.718181818181819,29.673427449946757,22,9.1,138,51.5,13.527692294679582,13,0.12986813639872707,0.5,2.1,15.5,30.5,0.16775394137948751,4,799.6974805235606,141.76882543175088,941.4663059553114,923.9999999999999,,346.5,855.25,1501.5,2.8,-8
64,312,52,2.1847661238902703,3.2996794871794872,5.182051282,77.61057692307692,43.12179487179487,3.6423487658208753,9.791666666666666,21.548512987792492,22,8.700000000000001,138,51.5,18.425525427257526,13,0.12986813639872707,0.5,2.1,15.5,30.5,0.048904582,5,681.6470306537643,189.40213582268552,871.0491664764498,919.6,,327.6,808.4,1357.2,2.947435897,6
65,295,47,2.046405652352493,3.1864406779661016,5.085423728813557,77.23728813559322,43.01355932,4.354096256021663,9.986440677966101,21.548512987792492,22,8.700000000000001,138,52,17.425525427257526,14,0.12986813639872707,0.5,2,15.5,30.5,0.2291016424424015,5,603.6896674439854,204.64252403301816,808.3321914770036,726.1,,295,750.1,1283.25,2.461355932,-5
66,284,44,1.983532391416923,3.232394366197183,5.119718309859152,77.56161971830986,43.04049295774648,4.120034748290622,10.045774647887324,16.27350849378854,22,8.700000000000001,138,52,16.425525427257526,14,0.12986813639872707,0.5,2,15.5,30.5,0.31797283287596656,5,563.3231991624061,181.28152892478738,744.6047280871935,601.8,,284,727,1235.4,2.119014085,-3
67,271,41,1.9886026348274837,3.1715867158671585,5.088191882,76.86162361623616,42.944649446494466,3.7754851493025012,10.136531365313653,16.853422719766968,22,8.700000000000001,138,52,14.862433703499846,14,0.12986813639872707,0.5,2,25,30.5,0.020691857,5,538.9113140382481,154.79489112140254,693.7062051596506,692.1999999999999,,271,689.45,1178.85,2.554243542,-3
68,256,46,1.923612617915361,3.09765625,5.109375,75.20898438,42.94921875,3.189735020737524,10.21875,19.720051148789935,22,8.700000000000001,138,52,12.761795264203101,14,0.12986813639872707,0.5,2,25,30.5,0.058725272,5,492.4448301863324,146.7278109539261,639.1726411402585,628.9999999999999,,256,654,1113.6,2.45703125,5
69,248,26,2.0024865559239076,3.1733870967741935,5.100806451612902,74.86290322580645,42.93346774193548,3.727081860751591,10.22983870967742,19.720051148789935,22,8.700000000000001,136.5,52,11.761795264203101,14,0.12986813639872707,0.5,2,25,30.5,0.12304665148258209,5,496.61666586912906,96.90412837954136,593.5207942486704,414.99999999999994,,0,0,0,1.673387097,-20
70,230,32,1.887974794766631,2.9608695652173913,5.0865217391304345,75.97826086956522,42.869565217391305,4.118886753258394,10.304347826086957,16.27350849378854,22,8.700000000000001,136.5,52,19.720051148789935,14,0.12986813639872707,0.5,2,25,31,0.2258290284312352,5,434.2342027963251,131.8043761042686,566.0385789005937,518.3,,230,584.95,1000.5,2.253478261,6
71,230,19,1.9742728127454352,2.9869565217391303,5.092608695652172,75.47173913043478,42.856521739130436,3.400972339337386,10.334782608695653,20.024430111767288,22,8.8,136.5,52,14.742845949753246,14,0.12986813639872707,0.5,2,25,31,0.15898641643798328,5,454.0827469314501,64.61847444741034,518.7012213788605,411.9,,0,0,0,1.790869565,-13
72,224,26,1.7400666869187489,2.892857142857143,5.081249999999999,75.11383928571429,42.779017857142854,3.576984721611395,10.428571428571429,16.27350849378854,22,8.8,136.5,52,15.267739223585522,14,0.12986813639872707,0.5,2,25,31,0.096788623,5,389.77493786979977,93.00160276189627,482.77654063169604,461.59999999999997,,224,569.1,985.6,2.060714286,7
73,218,25,1.7434884274155709,2.786697247706422,5.082568807339449,75.11009174311927,42.61697247706422,2.988782708122599,10.536697247706423,19.582814492083344,22,8.8,136.5,52,15.000865828595124,14,0.12986813639872707,0.5,2,25,31,0.260277106,5,380.08047717659446,74.71956770306497,454.8000448796594,357.09999999999997,,0,0,0,1.638073394,-1
74,208,23,1.7568991494154291,2.6586538461538463,5.075961538461536,75.13461538461539,42.42067307692308,2.703179971020205,10.64423076923077,19.756210824125446,19.5,8.8,136.5,52,17.124985473579727,15,0.13858011513252677,0.5,2,33,31,0.12986813639872707,5,365.43502307840924,62.17313933346472,427.6081624,354.09999999999997,,0,0,0,1.702403846,-2
75,195,25,1.575145492437297,2.41025641,5.002051282051282,74.38461538461539,42.261538461538464,3.9409238870348826,10.753846153846155,19.756210824125446,12,8.8,135,52,19.582814492083344,15,0.13858011513252677,0.5,2,33,31,0.2769658814650029,7,307.1533710252729,98.52309717587207,405.6764682,400.79999999999995,,195,487.7,858,2.055384615,2
76,187,27,1.7666424668386966,2.449197860962567,4.951871657754011,74.85294118,42.09090909090909,1.4092869598164692,10.81283422459893,21.761879374648743,12,8.8,135,51,4.689282631501555,15,0.13858011513252677,0.5,1.9,33,31,0.03699135,7,330.36214129883626,38.05074791504467,368.41288921388093,369.9,,0,0,0,1.978074866,2
