Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxL,maxFE,maxGen,minAE,minET,minH,minV,minL,minFE,minGen,totalAE,totalFE,totalE,totalCombat
39,435,138,11.502039166938129,11.459770114942529,2.907701149425284,11.744643678160916,9.628275862068968,20.714133319710687,8.057471264367816,156.76211699843407,83.0,4.299999999999999,16.39999999999999,19.599999999999998,158.32832050323486,13,0.260307002812624,1.0,0.7499999999999998,9.6,11.2,0.13395575049798936,3,5003.387037618086,2858.5503981200745,7861.93743573816,658.9499999999999
40,430,123,11.664340337436121,10.751162790697675,2.8866279069767447,11.808186046511628,9.796279069767444,19.311813242364355,8.269767441860465,125.21888560056686,83.0,4.299999999999999,16.39999999999999,3.9000000000000004,157.32832050323486,13,0.43156083300709724,1.0,0.7499999999999998,9.68,11.2,0.23622198402881622,3,5015.666345097532,2375.353028810816,7391.019373908348,694.0
41,419,128,10.72437235395353,10.28400954653938,2.884248210023865,11.866634844868745,9.852505966587112,19.02544336290748,8.503579952267303,116.24441776890308,83.0,4.299999999999999,16.39999999999999,18.999999999999996,156.32832050323486,13,0.29006125032901764,1.0,0.7499999999999998,9.68,11.2,0.08230671286582947,3,4493.512016306529,2435.2567504521576,6928.768766758687,754.15
42,424,112,10.439911924811431,10.075471698113208,2.8891509433962277,11.782452830188687,9.932193396226424,18.36754699476608,8.75943396226415,140.4310284256935,83.0,4.299999999999999,16.39999999999999,3.1999999999999993,155.32832050323486,13,0.26279315259307623,1.0,0.7499999999999998,9.68,12.200000000000003,0.20194681081920862,3,4426.522656120047,2057.165263413801,6483.687919533848,595.9499999999999
43,425,112,10.650336215635848,10.470588235294118,2.875999999999998,11.72752941176471,10.073058823529406,13.49551448348627,8.887058823529411,163.17002798244357,83.0,4.299999999999999,16.39999999999999,18.999999999999996,123.21888560056686,14,0.26279315259307623,1.0,0.7999999999999998,9.68,12.200000000000003,0.12758361920714378,4,4526.392891645235,1511.4976221504621,6037.890513795697,691.6999999999999
44,415,105,10.109182991070107,10.127710843373494,2.8804819277108438,11.706891566265062,9.541204819277112,13.717376007682677,9.04578313253012,133.64887209236622,56.0,4.299999999999999,16.39999999999999,12.2,109.68631680309772,14,0.26279315259307623,1.0,0.7999999999999998,9.68,12.200000000000003,0.12064192490652204,4,4195.310941294094,1440.324480806681,5635.635422100775,715.35
45,392,114,10.011120300306683,10.043367346938776,2.852551020408163,11.619897959183676,9.021683673469392,12.229441960954302,9.170918367346939,118.00084665417671,56.0,4.249999999999999,16.39999999999999,8.05,58.27536058425903,14,0.26279315259307623,1.0,0.7999999999999998,9.68,12.400000000000002,0.16553902605664916,4,3924.3591577202196,1394.1563835487905,5318.51554126901,789.6
46,362,132,8.857431870242879,9.925414364640885,2.8389502762430947,11.572817679558016,8.996408839779004,13.305626609853128,9.342541436464089,91.2651027913671,37.0,4.249999999999999,16.39999999999999,18.799999999999997,115.94807134568691,15,0.26279315259307623,1.0,0.7999999999999998,9.68,12.400000000000002,0.0973161943256855,4,3206.390337027922,1756.3427125006128,4962.733049528535,716.85
47,355,125,9.072210720825048,9.614084507042254,2.8097183098591554,11.512338028169019,9.22577464788732,10.950065324385134,9.552112676056337,115.37963217869401,37.0,4.249999999999999,16.39999999999999,18.999999999999996,47.89613440167159,15,0.26279315259307623,1.0,0.7499999999999998,9.6,12.200000000000003,0.07108066487126052,5,3220.634805892892,1368.7581655481417,4589.392971441033,480.2
48,358,105,8.351977000791441,8.67877094972067,2.7758379888268165,11.473184357541902,9.43938547486033,11.852155735134632,9.879888268156424,115.37963217869401,37.0,4.249999999999999,16.39999999999999,12.8,46.89613440167159,15,0.26279315259307623,1.0,0.7499999999999998,9.6,12.200000000000003,0.08815808594226837,5,2990.007766283336,1244.4763521891364,4234.484118472472,460.09999999999997
